game,result,game_state
1,1/2-1/2,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
1,1/2-1/2,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
1,1/2-1/2,rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
1,1/2-1/2,rnbqkbnr/pppppp1p/6p1/8/8/5N1P/PPPPPPP1/RNBQKB1R b KQkq - 0 2
1,1/2-1/2,rnbqk1nr/pppppp1p/6pb/8/8/5N1P/PPPPPPP1/RNBQKB1R w KQkq - 1 3
1,1/2-1/2,rnbqk1nr/pppppp1p/6pb/8/7P/5N2/PPPPPPP1/RNBQKB1R b KQkq - 0 3
1,1/2-1/2,rnbqk1nr/pppppp1p/6p1/8/5b1P/5N2/PPPPPPP1/RNBQKB1R w KQkq - 1 4
1,1/2-1/2,rnbqk1nr/pppppp1p/6p1/8/3P1b1P/5N2/PPP1PPP1/RNBQKB1R b KQkq - 0 4
1,1/2-1/2,rnbqk1nr/pppppp1p/3b2p1/8/3P3P/5N2/PPP1PPP1/RNBQKB1R w KQkq - 1 5
1,1/2-1/2,rnbqk1nr/pppppp1p/3b2p1/8/3P3P/P4N2/1PP1PPP1/RNBQKB1R b KQkq - 0 5
1,1/2-1/2,r1bqk1nr/pppppp1p/2nb2p1/8/3P3P/P4N2/1PP1PPP1/RNBQKB1R w KQkq - 1 6
1,1/2-1/2,r1bqk1nr/pppppp1p/2nb2p1/3P4/7P/P4N2/1PP1PPP1/RNBQKB1R b KQkq - 0 6
1,1/2-1/2,r1bqk1nr/pppppp1p/3b2p1/3Pn3/7P/P4N2/1PP1PPP1/RNBQKB1R w KQkq - 1 7
1,1/2-1/2,r1bqk1nr/pppppp1p/3b2p1/3Pn3/7P/P3PN2/1PP2PP1/RNBQKB1R b KQkq - 0 7
1,1/2-1/2,r1bqk1nr/pppppp1p/3b2p1/3P4/6nP/P3PN2/1PP2PP1/RNBQKB1R w KQkq - 1 8
1,1/2-1/2,r1bqk1nr/pppppp1p/3b2p1/3P4/6nP/P3PN2/1PPQ1PP1/RNB1KB1R b KQkq - 2 8
1,1/2-1/2,r1bqk1nr/1ppppp1p/3b2p1/p2P4/6nP/P3PN2/1PPQ1PP1/RNB1KB1R w KQkq - 0 9
1,1/2-1/2,r1bqk1nr/1ppppp1p/3b2p1/p2P4/3N2nP/P3P3/1PPQ1PP1/RNB1KB1R b KQkq - 1 9
1,1/2-1/2,r1bqk1nr/1ppppp2/3b2p1/p2P3p/3N2nP/P3P3/1PPQ1PP1/RNB1KB1R w KQkq - 0 10
1,1/2-1/2,r1bqk1nr/1ppppp2/3b2p1/p2P3p/3N2nP/P3P3/1PPQBPP1/RNB1K2R b KQkq - 1 10
1,1/2-1/2,r1bqk1nr/1ppppp2/3b1np1/p2P3p/3N3P/P3P3/1PPQBPP1/RNB1K2R w KQkq - 2 11
1,1/2-1/2,r1bqk1nr/1ppppp2/3b1np1/p2P3p/7P/PN2P3/1PPQBPP1/RNB1K2R b KQkq - 3 11
1,1/2-1/2,2bqk1nr/rppppp2/3b1np1/p2P3p/7P/PN2P3/1PPQBPP1/RNB1K2R w KQk - 4 12
1,1/2-1/2,2bqk1nr/rppppp2/3b1np1/p2P3p/5P1P/PN2P3/1PPQB1P1/RNB1K2R b KQk - 0 12
1,1/2-1/2,2bqk1n1/rppppp1r/3b1np1/p2P3p/5P1P/PN2P3/1PPQB1P1/RNB1K2R w KQ - 1 13
1,1/2-1/2,2bqk1n1/rppppp1r/3b1np1/p2P3p/2P2P1P/PN2P3/1P1QB1P1/RNB1K2R b KQ - 0 13
1,1/2-1/2,2bqk3/rppppp1r/3b1npn/p2P3p/2P2P1P/PN2P3/1P1QB1P1/RNB1K2R w KQ - 1 14
1,1/2-1/2,2bqk3/rppppp1r/3b1npn/p2P3p/2P2P1P/PN2P1P1/1P1QB3/RNB1K2R b KQ - 0 14
1,1/2-1/2,2bqk3/rppppp1r/3b2pn/p2P3p/2P1nP1P/PN2P1P1/1P1QB3/RNB1K2R w KQ - 1 15
1,1/2-1/2,2bqk3/rppppp1r/3b2pn/p2P3p/2PQnP1P/PN2P1P1/1P2B3/RNB1K2R b KQ - 2 15
1,1/2-1/2,2bqk3/rppppp1r/3b2pn/p2P3p/2PQ1P1P/PN2P1n1/1P2B3/RNB1K2R w KQ - 0 16
1,1/2-1/2,2bqk3/Qppppp1r/3b2pn/p2P3p/2P2P1P/PN2P1n1/1P2B3/RNB1K2R b KQ - 0 16
1,1/2-1/2,2bqk3/Qppppp1r/3b2pn/p2P3p/2P2P1P/PN2P3/1P2B3/RNB1K2n w Q - 0 17
1,1/2-1/2,2bqk3/Qppppp1r/3b2pn/N2P3p/2P2P1P/P3P3/1P2B3/RNB1K2n b Q - 0 17
1,1/2-1/2,2bqk3/Qppppp1r/3b2p1/N2P1n1p/2P2P1P/P3P3/1P2B3/RNB1K2n w Q - 1 18
1,1/2-1/2,2bqk3/Qppppp1r/3b2p1/N1PP1n1p/5P1P/P3P3/1P2B3/RNB1K2n b Q - 0 18
1,1/2-1/2,2bqk3/Qppppp1r/3b2p1/N1PP1n1p/5P1P/P3P1n1/1P2B3/RNB1K3 w Q - 1 19
1,1/2-1/2,2bqk3/Qppppp1r/3P2p1/N2P1n1p/5P1P/P3P1n1/1P2B3/RNB1K3 b Q - 0 19
1,1/2-1/2,2bqk3/Qp1ppp1r/3p2p1/N2P1n1p/5P1P/P3P1n1/1P2B3/RNB1K3 w Q - 0 20
